Idristorante;IDpersona;Titolo;Stelle;Testo;Data;Ora;Risposta
2;buonvinogino;di alta classe;5.0;mi ̬ piaciuto particolarmente il profumo del vino;12-01-2026;19:45:30;
2;buonvinogino;fsdfvdsvg;2.0;gfdsgsfdg;13-01-2026;18:17:56;
1;buonvinogino;cdfgngfdrfcgn;5.0;dxcfbdfrgxdgf;21-01-2026;17:28:37;
1;caldarolacagilio;ex;2.0;dddd;21-01-2026;21:25:43;
1;caldarolacagilio;ddsd;2.0;dddd;21-01-2026;21:42:56;
1;caldarolacagilio;bobbio;2.0;filo e claudio;21-01-2026;21:43:13;
2;caldarolacagilio;ciao;2.0;bobbio io e claudio;21-01-2026;21:46:00;
1;caldarolacagilio;sjsdkdd;2.0;dkddkjj;22-01-2026;14:05:11;
38;caldarolacagilio;fgdgrfdfdgxsfgd;4.0;xfdgvdxcfgbdfghcdghfb;22-01-2026;15:05:08;
284;caldarolacagilio;a;2.0;a;24-01-2026;15:34:49;
8388;Rossi88;Delizioso;5.0;Consiglio a chiunque di andarlo a provare;26-01-2026;22:37:06; 
7222;caldarolacagilio;bellissimo;5.0;Incredibile;27-01-2026;00:25:37; La ringraziamo per il suo gentile commento
7222;caldarolacagilio;bellissimo;5.0;Incredibile;27-01-2026;00:25:37; La ringraziamo per il suo gentile commento
